LCLASSCODE,LCLASSNAME,MCLASSCODE,MCLASSNAME,SCLASSCODE,SCLASSNAME
1,미곡류,101,벼,10101,일반계
1,미곡류,101,벼,10102,통일계
1,미곡류,101,벼,10103,햇일반계
1,미곡류,101,벼,10104,홍벼
1,미곡류,101,벼,10199,기타
1,미곡류,102,밭벼,10201,밭벼(일반)
1,미곡류,103,쌀,10301,일반미(쌀 일반)
1,미곡류,103,쌀,10302,청결미
1,미곡류,103,쌀,10303,품질인증미
1,미곡류,103,쌀,10304,혼합미
1,미곡류,103,쌀,10305,흑미
1,미곡류,103,쌀,10306,기타유색미
1,미곡류,103,쌀,10307,향미
1,미곡류,103,쌀,10308,양조미
1,미곡류,103,쌀,10309,대립미
1,미곡류,103,쌀,10311,쑥쌀
1,미곡류,103,쌀,10313,멥쌀
1,미곡류,103,쌀,10314,쌀(쇄미)
1,미곡류,103,쌀,10315,쌀눈
1,미곡류,103,쌀,10398,쌀(수입)
1,미곡류,103,쌀,10399,기타
1,미곡류,104,찹쌀,10401,찹쌀(일반)
1,미곡류,104,찹쌀,10402,현미찹쌀
1,미곡류,104,찹쌀,10499,기타
1,미곡류,105,찰벼,10501,찰벼(일반)
1,미곡류,106,현미,10601,현미(일반)
1,미곡류,106,현미,10602,현미쑥쌀
1,미곡류,106,현미,10603,메현미
1,미곡류,106,현미,10604,찰현미
1,미곡류,106,현미,10605,흑현미
1,미곡류,106,현미,10606,발아현미
1,미곡류,106,현미,10607,찰흑미
1,미곡류,106,현미,10608,흑향미
1,미곡류,106,현미,10609,쌀겨
1,미곡류,106,현미,10699,기타
1,미곡류,107,총체벼,10701,총체벼(일반)
1,미곡류,199,기타,19999,기타
2,맥류,201,보리,20101,보리(일반)
2,맥류,201,보리,20102,쌀보리
2,맥류,201,보리,20103,맥주보리
2,맥류,201,보리,20104,발아보리
2,맥류,201,보리,20105,겉보리
2,맥류,201,보리,20199,기타
2,맥류,202,보리쌀,20201,겉보리쌀
2,맥류,202,보리쌀,20202,쌀보리쌀
2,맥류,202,보리쌀,20203,맥주보리쌀
2,맥류,202,보리쌀,20204,찰보리쌀
2,맥류,202,보리쌀,20205,늘보리쌀
2,맥류,202,보리쌀,20206,할맥
2,맥류,202,보리쌀,20207,압맥
2,맥류,202,보리쌀,20299,기타
2,맥류,203,밀,20301,밀(일반)
2,맥류,203,밀,20302,발아밀
2,맥류,203,밀,20303,호라산 밀(Khorasan Wheat)
2,맥류,203,밀,20399,기타
2,맥류,205,호밀,20501,호밀(일반)
2,맥류,206,귀리,20601,귀리(일반)
3,두류,301,콩,30101,콩(일반)
3,두류,301,콩,30102,황태
3,두류,301,콩,30103,청태
3,두류,301,콩,30104,흑태
3,두류,301,콩,30105,선비태
3,두류,301,콩,30106,아주까리콩
3,두류,301,콩,30107,서리태
3,두류,301,콩,30108,밤콩
3,두류,301,콩,30109,콩나물콩
3,두류,301,콩,30110,풋콩
3,두류,301,콩,30111,풋청태
3,두류,301,콩,30112,약콩
3,두류,301,콩,30113,갓끈콩
3,두류,301,콩,30114,양태
3,두류,301,콩,30115,장단콩
3,두류,301,콩,30116,울콩
3,두류,301,콩,30117,발아콩
3,두류,301,콩,30118,백태
3,두류,301,콩,30119,호랑이콩
3,두류,301,콩,30120,알록콩
3,두류,301,콩,30196,울콩(수입)
3,두류,301,콩,30197,백태(수입)
3,두류,301,콩,30198,콩(수입)
3,두류,301,콩,30199,기타
3,두류,302,팥,30201,팥(일반)
3,두류,302,팥,30202,검정팥
3,두류,302,팥,30203,개구리팥
3,두류,302,팥,30204,흰팥
3,두류,302,팥,30205,발아팥
3,두류,302,팥,30206,붉은팥
3,두류,302,팥,30296,개구리팥(수입)
3,두류,302,팥,30297,붉은팥(수입)
3,두류,302,팥,30298,팥(수입)
3,두류,302,팥,30299,기타
3,두류,303,녹두,30301,녹두(일반)
3,두류,303,녹두,30302,무광녹두
3,두류,303,녹두,30303,발아녹두
3,두류,303,녹두,30304,유광녹두
3,두류,303,녹두,30398,녹두(수입)
3,두류,303,녹두,30399,기타
3,두류,304,완두,30401,완두(일반)
3,두류,304,완두,30402,피완두
3,두류,304,완두,30403,풋완두
3,두류,304,완두,30404,깐완두
3,두류,304,완두,30498,완두(수입)
3,두류,304,완두,30499,기타
3,두류,305,강낭콩,30501,강낭콩(일반)
3,두류,305,강낭콩,30502,풋강낭콩
3,두류,305,강낭콩,30503,줄콩
3,두류,305,강낭콩,30505,빨간콩
3,두류,305,강낭콩,30598,강낭콩(수입)
3,두류,305,강낭콩,30599,기타
3,두류,306,동부,30601,동부(일반)
3,두류,306,동부,30602,풋동부
3,두류,306,동부,30698,동부(수입)
3,두류,306,동부,30699,기타
3,두류,399,기타,39901,잠두
3,두류,399,기타,39902,칼콩
3,두류,399,기타,39903,제비콩
3,두류,399,기타,39904,타마린드
3,두류,399,기타,39999,기타
4,잡곡류,401,옥수수,40101,곡실옥수수
4,잡곡류,401,옥수수,40102,찰옥수수
4,잡곡류,401,옥수수,40103,풋옥수수
4,잡곡류,401,옥수수,40104,팝콘옥수수
4,잡곡류,401,옥수수,40105,옥수수쌀
4,잡곡류,401,옥수수,40106,미백
4,잡곡류,401,옥수수,40107,단옥수수
4,잡곡류,401,옥수수,40108,발아옥수수
4,잡곡류,401,옥수수,40198,옥수수(수입)
4,잡곡류,401,옥수수,40199,기타
4,잡곡류,402,조,40201,조(일반)
4,잡곡류,402,조,40202,차조
4,잡곡류,402,조,40203,메좁쌀
4,잡곡류,402,조,40204,차좁쌀
4,잡곡류,402,조,40205,좁쌀
4,잡곡류,402,조,40206,발아조
4,잡곡류,402,조,40207,메조
4,잡곡류,402,조,40297,차조(수입)
4,잡곡류,402,조,40299,기타
4,잡곡류,403,수수,40301,수수(일반)
4,잡곡류,403,수수,40302,차수수
4,잡곡류,403,수수,40303,수수쌀
4,잡곡류,403,수수,40304,발아수수
4,잡곡류,403,수수,40305,메수수
4,잡곡류,403,수수,40398,수수(수입)
4,잡곡류,403,수수,40399,기타
